Historical homogenized temperature stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de temperatures homogénéisées pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon ,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,année fin.,lat (deg),long (deg),élév (m),stns jointes
AB,STETTLER NORTH,3016124,1918,9,2011,12,52.33,-112.72,821,Y
AB,VAUXHALL,3036682,1913,10,2011,12,50.05,-112.13,779,Y
AB,WHITECOURT,3067372,1942,12,2011,12,54.15,-115.78,782,Y
SK,ANEROID,4020160,1922,1,2005,4,49.72,-107.30,754,N
SK,BUFFALO NARROWS,4060982,1962,1,2011,12,55.83,-108.43,440,Y
SK,COLLINS BAY,4061632,1972,9,2011,12,58.18,-103.70,490,Y
SK,COTE,4011846,1907,8,2006,3,51.52,-101.78,450,Y
SK,KEY LAKE,4063755,1976,11,2011,12,57.40,-107.10,509,N
SK,DAVIDSON,4012130,1922,6,2007,11,51.27,-105.98,619,Y
SK,ESTEVAN,4012400,1900,6,2011,12,49.22,-102.97,581,Y
SK,HUDSON BAY,4083324,1943,3,2011,12,52.82,-102.32,358,Y
SK,INDIAN HEAD,4013480,1889,9,2011,12,50.55,-103.65,579,N
SK,ISLAND FALLS,4063560,1929,9,2004,9,55.53,-102.35,299,N
SK,KELLIHER,4013660,1908,1,2011,12,51.25,-103.75,676,Y
SK,KINDERSLEY,4043900,1912,8,2011,12,51.52,-109.18,694,Y
SK,LA RONGE,4064150,1923,9,2011,12,55.15,-105.27,379,Y
SK,LEADER,402DAF0,1924,1,2011,12,50.88,-109.53,676,Y
SK,LOON LAKE,4064600,1930,1,2005,10,54.05,-109.10,543,Y
SK,LOST RIVER,4075518,1911,5,2005,9,53.28,-104.33,372,Y
SK,MOOSE JAW,4015322,1894,3,2011,12,50.33,-105.55,577,Y
SK,MOOSOMIN,4015360,1941,1,2000,9,50.13,-101.67,576,N
SK,NORTHBATTLEFORD,4045605,1891,1,2011,12,52.77,-108.25,548,Y
SK,OUTLOOK,4055736,1915,2,2011,12,51.48,-107.05,541,Y
SK,PASWEGIN,4015960,1963,1,2003,9,51.98,-103.92,533,N
SK,PELLY,4086000,1951,7,2011,12,52.08,-101.87,509,N
SK,PILGER,4056120,1911,10,2011,9,52.42,-105.15,552,N
SK,POPLAR RIVER,4038740,1956,10,2002,6,49.00,-106.38,876,N
SK,PRINCE ALBERT,4056240,1884,9,2011,12,53.22,-105.67,428,Y
SK,REGINA,4016560,1898,1,2011,12,50.43,-104.67,577,N
SK,SASKATOON,4057120,1900,1,2011,12,52.17,-106.72,504,N
SK,SCOTT,4047241,1911,5,2007,11,52.37,-108.83,660,Y
SK,SWIFT CURRENT,4028040,1885,12,2011,6,50.27,-107.73,817,Y
SK,URANIUM CITY,406QLD0,1953,1,2011,12,59.57,-108.48,318,Y
SK,VAL MARIE,4038400,1937,4,2010,5,49.37,-107.85,808,N
SK,WASECA,4048520,1907,7,2011,12,53.13,-109.40,638,N
SK,WASKESIU LAKE,4068559,1966,1,2011,12,53.92,-106.07,569,Y
SK,WHITESAND DAM,4068840,1938,1,2004,9,56.23,-103.15,344,N
SK,YELLOW GRASS,4019040,1911,8,2011,12,49.82,-104.18,580,N
SK,YORKTON,4019082,1941,5,2011,12,51.27,-102.47,498,Y
MB,ARBORG,5030080,1960,11,2011,12,50.93,-97.08,224,N
MB,BERENS RIVER,5030203,1905,1,2011,12,52.35,-97.03,222,Y
MB,BIRTLE,5010240,1904,6,2000,6,50.43,-101.05,522,N
MB,BRANDON,5010485,1890,1,2010,3,49.87,-99.98,363,N
MB,BROCHET,5060520,1948,8,2009,9,57.88,-101.68,346,N
MB,CHURCHILL,5060601,1932,1,2010,11,58.73,-94.05,29,Y
MB,CYPRESS RIVER,5010640,1949,1,2011,12,49.55,-99.08,374,N
MB,DAUPHIN,5040680,1903,1,2010,7,51.10,-100.05,305,Y
MB,FLIN FLON,5050920,1927,2,2011,12,54.77,-101.88,320,N
MB,GILLAM,5061001,1943,3,2011,12,56.35,-94.72,145,Y
MB,GIMLI,5031042,1944,3,2011,12,50.63,-97.05,230,Y
MB,GRAND RAPIDS,5031111,1960,7,2011,12,53.15,-99.28,223,Y
MB,GREAT FALLS,5031201,1922,9,2011,12,50.47,-96.00,253,Y
MB,INDIAN BAY,5031320,1915,4,2011,12,49.62,-95.20,327,N
MB,LYNN LAKE,5061648,1952,4,2011,12,56.87,-101.08,357,Y
MB,MINNEDOSA,5042004,1880,12,2008,11,50.27,-99.83,412,Y
MB,MORDEN EXP FARM,5021849,1904,3,2011,12,49.18,-98.08,298,Y
MB,NORWAY HOUSE,506B047,1897,10,2005,9,53.95,-97.85,224,Y
MB,PIERSON,5012080,1933,1,2007,3,49.18,-101.27,469,N
MB,PINAWA,5032162,1915,6,2011,12,50.18,-96.07,267,Y
MB,SPRAGUE,5022759,1915,9,2011,12,49.02,-95.60,329,Y
MB,THE PAS,5052880,1910,6,2011,12,53.97,-101.10,270,Y
MB,THOMPSON,5062922,1967,4,2011,12,55.80,-97.87,222,N
MB,WINNIPEG,5023226,1872,3,2011,12,49.92,-97.23,239,Y
ON,ATIKOKAN,6020LPQ,1917,1,2011,12,48.80,-91.58,442,Y
ON,BEATRICE,6110607,1877,7,2011,12,45.13,-79.40,297,Y
ON,BELLEVILLE,6150689,1921,1,2011,12,44.15,-77.40,76,N
ON,BIG TROUT LAKE,6010739,1939,2,2011,12,53.83,-89.87,224,Y
ON,BROCKVILLE,6100971,1915,1,2011,12,44.60,-75.67,96,Y
ON,CAMERON FALLS,6041110,1924,6,2011,12,49.15,-88.35,233,Y
ON,CHAPLEAU,6061361,1913,7,2011,12,47.82,-83.35,447,Y
ON,CORNWALL,6101874,1950,11,2011,12,45.02,-74.75,64,N
ON,DRYDEN,6032120,1914,1,2010,9,49.78,-92.83,413,Y
ON,EARLTON,6072225,1938,9,2005,1,47.70,-79.85,243,N
ON,FORT FRANCES,6022476,1917,1,2011,5,48.65,-93.43,342,Y
ON,GERALDTON,6042716,1967,11,2011,12,49.78,-86.93,349,Y
ON,GORE BAY,6092930,1916,1,2011,7,45.88,-82.57,194,Y
ON,HALIBURTON,6163171,1888,6,2011,12,45.03,-78.53,330,Y
ON,HAMILTON,6153194,1866,1,2011,12,43.17,-79.93,238,Y
ON,HARROW,6130257,1917,4,2011,11,42.03,-82.90,182,Y
ON,HORNEPAYNE,6053575,1917,6,1995,7,49.20,-84.77,335,Y
ON,IROQUOIS FALLS,6073810,1913,3,1998,12,48.75,-80.67,259,N
ON,KAPUSKASING,6073975,1918,1,2011,12,49.42,-82.47,227,Y
ON,KENORA,6034075,1899,9,2011,12,49.78,-94.37,406,Y
ON,KINGSTON,6104142,1872,7,2011,12,44.22,-76.60,93,Y
ON,LANSDOWNE HOUSE,6014353,1941,3,2011,12,52.23,-87.88,255,Y
ON,LONDON,6144478,1883,3,2011,12,43.03,-81.15,278,Y
ON,MADAWASKA,6080192,1915,8,2011,12,45.50,-77.98,316,Y
ON,MINE CENTRE,6025205,1915,2,2011,12,48.80,-92.60,361,Y
ON,MOOSONEE,6075425,1892,10,2011,12,51.27,-80.65,10,Y
ON,MORRISBURG,6105460,1913,6,2008,12,44.92,-75.18,82,N
ON,NORTH BAY,6085700,1925,1,2011,12,46.37,-79.42,370,Y
ON,ORANGEVILLE,6155790,1887,1,2011,12,43.92,-80.08,412,Y
ON,OTTAWA,6105976,1889,11,2011,12,45.38,-75.72,79,N
ON,OWEN SOUND,6116132,1878,7,2007,12,44.58,-80.93,179,Y
ON,PETERBOROUGH,6166418,1866,4,2007,5,44.23,-78.37,191,Y
ON,PICKLE LAKE,6016527,1934,1,2011,12,51.45,-90.22,386,Y
ON,RED LAKE,6016975,1965,1,2011,12,51.07,-93.80,386,N
ON,RIDGETOWN,6137154,1923,1,2011,12,42.45,-81.88,206,Y
ON,SAULT STE MARIE,6057592,1945,6,2011,12,46.48,-84.52,192,Y
ON,SIOUX LOOKOUT,6037775,1914,1,2011,12,50.12,-91.90,383,Y
ON,SMOKY FALLS,6077845,1933,10,1997,4,50.07,-82.17,183,N
ON,SUDBURY,6068150,1947,1,2011,12,46.62,-80.80,348,Y
ON,THUNDER BAY,6048264,1877,7,2011,12,48.37,-89.33,199,Y
ON,TIMMINS,6078285,1955,4,2011,12,48.57,-81.38,295,N
ON,TORONTO,6158355,1840,3,2011,12,43.67,-79.40,113,Y
ON,VINELAND,6139141,1924,10,2010,5,43.17,-79.42,79,Y
ON,WAWA,6059D09,1940,3,2011,12,47.97,-84.78,287,Y
ON,WELLAND,6139445,1872,10,2011,12,43.00,-79.27,175,N
ON,WINDSOR,6139525,1940,8,2011,12,42.27,-82.97,190,N
ON,WOODSTOCK,6149625,1871,11,2011,12,43.13,-80.77,282,N
QC,AMOS,709CEE9,1913,6,2011,10,48.57,-78.13,305,Y
QC,BAGOTVILLE,7060400,1880,10,2011,12,48.33,-71.00,159,Y
QC,BAIE COMEAU,704S001,1965,1,2011,12,49.13,-68.20,130,Y
QC,BEAUCEVILLE,7027283,1913,8,2011,10,46.15,-70.70,168,Y
QC,BELLETERRE,7080600,1951,9,2004,4,47.38,-78.70,322,N
QC,BROME,7020840,1890,9,2011,10,45.18,-72.57,206,N
QC,CAUSAPSCAL,7051200,1913,11,2011,10,48.37,-67.23,168,N
QC,CHELSEA,7031360,1927,9,2011,10,45.52,-75.78,113,N
QC,CHIBOUGAMAU,7091399,1914,7,2008,7,49.78,-74.85,387,Y
QC,DONNACONA,7011982,1918,7,2011,10,46.68,-71.73,15,Y
QC,DRUMMONDVILLE,7022160,1913,11,2011,10,45.88,-72.48,82,N
QC,GASPE,7052605,1916,1,2011,12,48.78,-64.48,33,Y
QC,ILES MADELEINE,705C2G9,1933,1,2011,12,47.42,-61.78,11,Y
QC,INUKJUAK,710S005,1921,11,2011,12,58.47,-78.08,25,Y
QC,JOLIETTE,7013362,1914,1,2011,4,46.02,-73.43,56,Y
QC,KUUJJUAQ,7113534,1947,3,2011,12,58.10,-68.42,39,N
QC,KUUJJUARAPIK,7103536,1925,10,2011,12,55.28,-77.75,10,N
QC,LA POCATIERE,7054096,1913,10,2011,12,47.35,-70.03,31,Y
QC,LA SARRE,7094120,1951,9,2004,4,48.78,-79.22,244,N
QC,LA TUQUE,707DBD4,1911,9,2011,12,47.40,-72.78,169,Y
QC,LABRIEVILLE,7043540,1955,1,1994,12,49.30,-69.55,152,N
QC,LEBEL QUEVILLON,7094275,1967,1,2004,4,49.05,-76.97,305,N
QC,LENNOXVILLE,7024280,1915,1,2011,12,45.37,-71.82,181,N
QC,LES CEDRES,7014290,1913,2,2011,10,45.30,-74.05,47,N
QC,MANIWAKI,7034482,1914,6,2011,12,46.30,-76.00,200,Y
QC,MONT JOLI,7055120,1875,1,2011,12,48.60,-68.20,52,Y
QC,MONT LAURIER,7035160,1920,7,2011,10,46.57,-75.55,244,Y
QC,MONTREAL TAVISH,7024740,1871,7,2011,12,45.47,-73.75,73,Y
QC,NATASHQUAN,7045401,1914,10,2011,12,50.18,-61.82,11,Y
QC,NICOLET,7025440,1913,11,2011,10,46.20,-72.62,30,N
QC,NORMANDIN,7065639,1936,7,2011,12,48.85,-72.53,137,Y
QC,PARENT,7075800,1943,7,2011,12,47.92,-74.62,445,Y
QC,QUAQTAQ,7116270,1943,1,1988,5,61.05,-69.63,30,Y
QC,QUEBEC,701S001,1875,8,2011,12,46.80,-71.38,74,Y
QC,ROBERVAL,7066685,1914,1,2011,12,48.52,-72.27,179,Y
QC,SCHEFFERVILLE,7117825,1948,8,2010,1,54.80,-66.82,522,N
QC,SEPT-ILES,7047914,1944,9,2011,12,50.22,-66.27,53,Y
QC,SHEENBOROUGH,7038080,1915,7,2011,10,45.95,-77.32,137,Y
QC,ST JEROME,7037400,1932,5,2011,10,45.80,-74.05,170,N
QC,STEROSE DEGELIS,7057720,1932,11,2004,4,47.57,-68.63,151,N
